label,pair,tf_hours,entry_mode,sl_buffer_pips,max_sl_pips,rr,bos_lookback,trades,wins,losses,win_rate_%,profit_factor,total_pips,exp_pips/trade,wt_trades,wt_wins,wt_wr_%,wt_pf,ct_trades,ct_wins,ct_wr_%,ct_pf,final_equity_$,net_return_%,max_dd_$,max_dd_%
GBPUSD_2H_origination_top_lb10_sl10_rr25,GBPUSD,2,top,10,30,2.5,10,3,1,2,33.3,1.22,12.0,4.0,2,0,0.0,0.0,1,1,100.0,999.0,10045.84,0.5,101.47,1.0
GBPUSD_2H_origination_mid_lb10_sl10_rr25,GBPUSD,2,mid,10,30,2.5,10,25,14,11,56.0,3.42,633.4,25.3,12,7,58.3,4.19,13,7,53.8,2.86,12653.4,26.5,382.22,3.0
GBPUSD_2H_origination_bottom_lb10_sl10_rr25,GBPUSD,2,bottom,10,30,2.5,10,33,20,13,60.6,3.85,370.0,11.2,20,13,65.0,4.64,13,7,53.8,2.92,14379.2,43.8,620.56,4.9
GBPUSD_2H_origination_top_lb10_sl10_rr30,GBPUSD,2,top,10,30,3.0,10,3,1,2,33.3,1.47,25.2,8.4,2,0,0.0,0.0,1,1,100.0,999.0,10095.03,1.0,101.97,1.0
GBPUSD_2H_origination_mid_lb10_sl10_rr30,GBPUSD,2,mid,10,30,3.0,10,25,12,13,48.0,2.93,605.6,24.2,12,6,50.0,3.49,13,6,46.2,2.51,12516.0,25.2,376.23,3.0
GBPUSD_2H_origination_bottom_lb10_sl10_rr30,GBPUSD,2,bottom,10,30,3.0,10,33,17,16,51.5,3.19,350.0,10.6,20,10,50.0,3.0,13,7,53.8,3.5,14073.3,40.7,632.32,4.9
GBPUSD_2H_origination_top_lb10_sl15_rr15,GBPUSD,2,top,15,30,1.5,10,1,0,1,0.0,0.0,-29.4,-29.4,1,0,0.0,0.0,0,0,0.0,999.0,9900.0,-1.0,100.0,1.0
GBPUSD_2H_origination_mid_lb10_sl15_rr15,GBPUSD,2,mid,15,30,1.5,10,12,7,5,58.3,2.12,149.1,12.4,6,3,50.0,1.59,6,4,66.7,2.86,10553.77,5.5,198.6,2.0
GBPUSD_2H_origination_bottom_lb10_sl15_rr15,GBPUSD,2,bottom,15,30,1.5,10,33,23,10,69.7,3.45,367.5,11.1,20,16,80.0,6.0,13,7,53.8,1.75,12737.11,27.4,351.43,3.0
GBPUSD_2H_origination_top_lb10_sl15_rr20,GBPUSD,2,top,15,30,2.0,10,1,0,1,0.0,0.0,-29.4,-29.4,1,0,0.0,0.0,0,0,0.0,999.0,9900.0,-1.0,100.0,1.0
GBPUSD_2H_origination_mid_lb10_sl15_rr20,GBPUSD,2,mid,15,30,2.0,10,12,5,7,41.7,1.41,77.6,6.5,6,2,33.3,1.06,6,3,50.0,1.84,10290.35,2.9,208.94,2.0
GBPUSD_2H_origination_bottom_lb10_sl15_rr20,GBPUSD,2,bottom,15,30,2.0,10,33,19,14,57.6,2.71,360.0,10.9,20,12,60.0,3.0,13,7,53.8,2.33,12655.99,26.6,585.19,4.9
GBPUSD_2H_origination_top_lb10_sl15_rr25,GBPUSD,2,top,15,30,2.5,10,1,0,1,0.0,0.0,-29.4,-29.4,1,0,0.0,0.0,0,0,0.0,999.0,9900.0,-1.0,100.0,1.0
GBPUSD_2H_origination_mid_lb10_sl15_rr25,GBPUSD,2,mid,15,30,2.5,10,12,5,7,41.7,1.77,143.7,12.0,6,2,33.3,1.32,6,3,50.0,2.3,10543.84,5.4,214.08,2.0
GBPUSD_2H_origination_bottom_lb10_sl15_rr25,GBPUSD,2,bottom,15,30,2.5,10,33,17,16,51.5,2.66,397.5,12.0,20,10,50.0,2.5,13,7,53.8,2.92,12955.94,29.6,599.37,4.9
GBPUSD_2H_origination_top_lb10_sl15_rr30,GBPUSD,2,top,15,30,3.0,10,1,0,1,0.0,0.0,-29.4,-29.4,1,0,0.0,0.0,0,0,0.0,999.0,9900.0,-1.0,100.0,1.0
GBPUSD_2H_origination_mid_lb10_sl15_rr30,GBPUSD,2,mid,15,30,3.0,10,12,4,8,33.3,1.45,96.5,8.0,6,1,16.7,0.59,6,3,50.0,2.76,10383.96,3.8,299.82,3.0
GBPUSD_2H_origination_bottom_lb10_sl15_rr30,GBPUSD,2,bottom,15,30,3.0,10,33,15,18,45.5,2.5,405.0,12.3,20,9,45.0,2.45,13,6,46.2,2.57,13001.45,30.0,607.77,4.9
