time,open,high,low,close
1736420400,0.61972,0.62034,0.61951,0.62
1736424000,0.61999,0.62033,0.61948,0.61958
1736427600,0.61954,0.62047,0.61927,0.61976
1736431200,0.61974,0.62017,0.61963,0.61993
1736434800,0.61995,0.61997,0.61912,0.61921
1736438400,0.6192,0.61958,0.61887,0.61944
1736442000,0.61944,0.61969,0.61939,0.61952
1736445600,0.6195,0.61976,0.61926,0.61973
1736449200,0.61974,0.61995,0.6196,0.61973
1736452800,0.61974,0.61999,0.61967,0.61982
1736456400,0.61981,0.61983,0.61946,0.61954
1736460000,0.6195,0.61982,0.61937,0.61974
1736463600,0.61977,0.61992,0.61884,0.61896
1736467200,0.61898,0.61943,0.61876,0.61912
1736470800,0.61912,0.62061,0.61898,0.62
1736474400,0.61999,0.62012,0.61958,0.61981
1736478000,0.61981,0.62003,0.61931,0.61963
1736481600,0.61962,0.61982,0.61887,0.61933
1736485200,0.61932,0.61996,0.61906,0.61915
1736488800,0.61916,0.61924,0.61866,0.61869
1736492400,0.61866,0.61975,0.61866,0.61932
1736496000,0.61932,0.61963,0.6185,0.61877
1736499600,0.61877,0.6188,0.61818,0.61831
1736503200,0.61833,0.61874,0.61805,0.61866
1736506800,0.61866,0.61913,0.61866,0.61883
1736510400,0.61883,0.61912,0.61846,0.61892
1736514000,0.61892,0.61917,0.6139,0.61537
1736517600,0.61535,0.61717,0.61469,0.61646
1736521200,0.61616,0.61721,0.61526,0.61557
1736524800,0.61556,0.61561,0.61405,0.61451
1736528400,0.61453,0.6156,0.61407,0.61548
1736532000,0.61544,0.61564,0.61495,0.6156
1736535600,0.61561,0.61562,0.61459,0.61475
1736539200,0.61476,0.61478,0.61419,0.61461
1736542800,0.61461,0.61469,0.61421,0.61436
1736719200,0.61463,0.61471,0.61428,0.61444
1736722800,0.61449,0.61587,0.61424,0.61537
1736726400,0.61536,0.61576,0.61508,0.61552
1736730000,0.61552,0.61628,0.61526,0.61586
1736733600,0.61583,0.6163,0.61562,0.61594
1736737200,0.61594,0.61609,0.6141,0.61423
1736740800,0.61424,0.61464,0.61314,0.61331
1736744400,0.61326,0.61422,0.61318,0.61392
1736748000,0.61392,0.61435,0.6138,0.61428
1736751600,0.61419,0.6149,0.6136,0.61462
1736755200,0.61461,0.61567,0.61448,0.61479
1736758800,0.6148,0.61513,0.61364,0.61378
1736762400,0.61376,0.61472,0.61374,0.61454
1736766000,0.61454,0.615,0.61426,0.61454
1736769600,0.61455,0.61541,0.61391,0.61527
1736773200,0.61526,0.61586,0.61468,0.61498
1736776800,0.61496,0.61577,0.61447,0.61569
1736780400,0.61567,0.61568,0.61461,0.61497
1736784000,0.61499,0.61603,0.61456,0.61544
1736787600,0.61544,0.61609,0.61531,0.61603
1736791200,0.61604,0.61624,0.61551,0.61596
1736794800,0.61596,0.61601,0.61548,0.6155
1736798400,0.61548,0.61623,0.61543,0.6162
1736802000,0.6162,0.61783,0.61613,0.61774
1736805600,0.61731,0.61953,0.61693,0.61871
1736809200,0.61868,0.6203,0.6183,0.61909
1736812800,0.61907,0.61916,0.61817,0.61849
1736816400,0.61849,0.61909,0.61794,0.61893
1736820000,0.6189,0.61892,0.61792,0.61861
1736823600,0.61856,0.61929,0.61837,0.61865
1736827200,0.61865,0.61921,0.61838,0.61881
1736830800,0.61879,0.61886,0.6181,0.61835
1736834400,0.61837,0.61922,0.61826,0.6192
1736838000,0.61915,0.61973,0.61886,0.6197
1736841600,0.61971,0.62075,0.6196,0.61983
1736845200,0.61982,0.6199,0.61879,0.619
1736848800,0.61899,0.61928,0.61839,0.6187
1736852400,0.6187,0.61876,0.61802,0.61805
1736856000,0.61804,0.61814,0.61655,0.61732
1736859600,0.61733,0.61952,0.6167,0.61744
1736863200,0.61746,0.61868,0.61681,0.61791
1736866800,0.61791,0.61977,0.61788,0.61956
1736870400,0.61957,0.61989,0.61801,0.61819
1736874000,0.61818,0.61859,0.61769,0.61831
1736877600,0.61829,0.61899,0.61817,0.61897
1736881200,0.61896,0.61939,0.61848,0.61864
1736884800,0.61863,0.61914,0.61839,0.61889
1736888400,0.61889,0.61948,0.61886,0.61942
1736892000,0.61897,0.61949,0.61897,0.61933
1736895600,0.61936,0.61961,0.61882,0.61909
1736899200,0.61908,0.61918,0.61819,0.61821
1736902800,0.6182,0.619,0.61815,0.6187
1736906400,0.6187,0.61889,0.61822,0.61883
1736910000,0.61884,0.61948,0.61866,0.61939
1736913600,0.61939,0.61955,0.61916,0.61949
1736917200,0.61948,0.61958,0.61869,0.61873
1736920800,0.61875,0.61935,0.61856,0.61907
1736924400,0.61911,0.62053,0.61893,0.62032
1736928000,0.6203,0.62117,0.61953,0.61959
1736931600,0.61958,0.62079,0.61952,0.62061
1736935200,0.62063,0.62084,0.62002,0.62038
1736938800,0.62038,0.62076,0.62013,0.62026
1736942400,0.62027,0.6205,0.61942,0.61976
1736946000,0.61974,0.62468,0.61952,0.62429
1736949600,0.6243,0.62458,0.62318,0.62366
1736953200,0.62367,0.62385,0.62179,0.6226
1736956800,0.62261,0.62289,0.62093,0.62161
1736960400,0.62162,0.62245,0.6216,0.62204
1736964000,0.62208,0.62244,0.62189,0.62243
1736967600,0.62243,0.62292,0.62227,0.62283
1736971200,0.62283,0.62309,0.62258,0.62294
1736974800,0.62294,0.62302,0.62242,0.62268
1736978400,0.62158,0.62274,0.62158,0.6226
1736982000,0.6226,0.62361,0.6226,0.62351
1736985600,0.62352,0.62465,0.62248,0.62384
1736989200,0.62389,0.62389,0.62204,0.62235
1736992800,0.62236,0.62261,0.62133,0.62155
1736996400,0.62154,0.62163,0.62083,0.62106
1737000000,0.62106,0.6215,0.62035,0.62058
1737003600,0.62058,0.6206,0.6195,0.61989
1737007200,0.6199,0.62097,0.6199,0.62089
1737010800,0.62084,0.62198,0.62053,0.62174
1737014400,0.62174,0.622,0.62098,0.62183
1737018000,0.62183,0.62197,0.62121,0.62134
1737021600,0.62134,0.62158,0.6209,0.62124
1737025200,0.62125,0.62143,0.62092,0.62125
1737028800,0.62126,0.62126,0.61951,0.61996
1737032400,0.61991,0.62087,0.61916,0.62063
1737036000,0.62072,0.62084,0.62003,0.62064
1737039600,0.62063,0.62246,0.62032,0.62198
1737043200,0.62197,0.62287,0.62128,0.62195
1737046800,0.62195,0.62293,0.62156,0.62172
1737050400,0.62171,0.62201,0.62107,0.62132
1737054000,0.62131,0.62171,0.62114,0.62123
1737057600,0.62123,0.62137,0.62087,0.62093
1737061200,0.62093,0.62133,0.62074,0.62124
1737064800,0.62072,0.62124,0.62071,0.62102
1737068400,0.62112,0.62113,0.62058,0.62097
1737072000,0.62096,0.62135,0.62067,0.62104
1737075600,0.62106,0.62147,0.62066,0.62119
1737079200,0.6212,0.62197,0.62102,0.62119
1737082800,0.62117,0.62154,0.62083,0.62131
1737086400,0.62131,0.62134,0.61952,0.61987
1737090000,0.61986,0.62031,0.6198,0.62025
1737093600,0.62025,0.62047,0.61961,0.62039
1737097200,0.62041,0.62101,0.61995,0.62078
1737100800,0.62079,0.62131,0.62074,0.62094
1737104400,0.62094,0.62142,0.62013,0.62028
1737108000,0.6203,0.62065,0.62012,0.6202
1737111600,0.62021,0.62056,0.61954,0.61978
1737115200,0.61977,0.61999,0.61833,0.61858
1737118800,0.6186,0.61884,0.61742,0.61777
1737122400,0.61778,0.6209,0.61643,0.62059
1737126000,0.62058,0.62275,0.6204,0.62186
1737129600,0.62184,0.62199,0.62046,0.62077
1737133200,0.62079,0.62105,0.62032,0.62045
1737136800,0.62046,0.62068,0.61985,0.6203
1737140400,0.6203,0.62053,0.61954,0.61991
1737144000,0.6199,0.62004,0.61931,0.61962
1737147600,0.61963,0.61965,0.61912,0.61921
1737324000,0.61969,0.61995,0.61941,0.61955
1737327600,0.6196,0.61997,0.61896,0.61974
1737331200,0.61975,0.62041,0.61965,0.62029
1737334800,0.62025,0.62093,0.61977,0.62083
1737338400,0.62081,0.621,0.62041,0.62096
1737342000,0.62096,0.62174,0.62072,0.62172
1737345600,0.62172,0.62184,0.6212,0.62133
1737349200,0.62133,0.62155,0.62065,0.62073
1737352800,0.62072,0.62167,0.62021,0.62125
1737356400,0.62123,0.62229,0.62106,0.62218
1737360000,0.62219,0.62225,0.62086,0.62102
1737363600,0.62102,0.62107,0.61968,0.61994
1737367200,0.61995,0.6206,0.61987,0.62001
1737370800,0.61999,0.62072,0.61987,0.62046
1737374400,0.62046,0.6209,0.61998,0.62083
1737378000,0.62081,0.62685,0.62027,0.62652
1737381600,0.62651,0.62869,0.62532,0.62762
1737385200,0.62762,0.6284,0.62492,0.62578
1737388800,0.62575,0.62659,0.6254,0.62588
1737392400,0.62589,0.62659,0.6232,0.62547
1737396000,0.62546,0.62627,0.62507,0.62623
1737399600,0.62624,0.62778,0.62579,0.62738
1737403200,0.62735,0.62842,0.62701,0.62732
1737406800,0.6273,0.62757,0.62694,0.62739
1737410400,0.62641,0.62733,0.62596,0.62665
1737414000,0.62669,0.62827,0.62665,0.62803
1737417600,0.62803,0.62892,0.62084,0.62214
1737421200,0.62214,0.6256,0.62126,0.6231
1737424800,0.62305,0.6252,0.62305,0.62453
1737428400,0.6245,0.62605,0.62449,0.62487
1737432000,0.62488,0.62557,0.62459,0.62477
1737435600,0.62479,0.62505,0.62307,0.62323
1737439200,0.62322,0.62401,0.62301,0.62329
1737442800,0.62331,0.62431,0.62296,0.62362
1737446400,0.6236,0.62381,0.62277,0.62334
1737450000,0.62335,0.62394,0.62242,0.6232
1737453600,0.62323,0.62334,0.62203,0.62236
1737457200,0.62235,0.62243,0.62145,0.62191
1737460800,0.6219,0.6227,0.62156,0.62247
1737464400,0.62248,0.62407,0.62212,0.62385
1737468000,0.62385,0.62532,0.62344,0.62463
1737471600,0.62458,0.62619,0.6243,0.62584
1737475200,0.62586,0.62706,0.62567,0.62705
1737478800,0.62704,0.62747,0.62669,0.62672
1737482400,0.62679,0.62755,0.62655,0.62715
1737486000,0.62715,0.62731,0.6263,0.62654
1737489600,0.62656,0.62706,0.62639,0.62699
1737493200,0.627,0.62759,0.62689,0.62729
1737496800,0.62719,0.62746,0.6263,0.62704
1737500400,0.62705,0.62741,0.62549,0.62618
1737504000,0.6262,0.62773,0.62619,0.62748
1737507600,0.62747,0.62751,0.62618,0.62636
1737511200,0.62636,0.62695,0.62608,0.62679
1737514800,0.6268,0.62695,0.62623,0.62644
1737518400,0.62644,0.62692,0.62625,0.62646
1737522000,0.62646,0.62665,0.62597,0.62649
1737525600,0.62647,0.62659,0.62527,0.62558
1737529200,0.62558,0.62627,0.62536,0.62585
1737532800,0.62586,0.62737,0.62586,0.62732
1737536400,0.62736,0.62849,0.62722,0.62848
1737540000,0.62847,0.62933,0.62828,0.62872
1737543600,0.62871,0.62954,0.62805,0.62832
1737547200,0.62833,0.62867,0.62754,0.62857
1737550800,0.62858,0.62914,0.62771,0.62829
1737554400,0.62829,0.6284,0.62699,0.62749
1737558000,0.62749,0.62751,0.62658,0.62725
1737561600,0.62724,0.62759,0.6264,0.62749
1737565200,0.62749,0.62776,0.62725,0.62772
1737568800,0.62769,0.62817,0.62736,0.6278
1737572400,0.62781,0.62811,0.62762,0.62782
1737576000,0.62783,0.62808,0.62724,0.62738
1737579600,0.62739,0.62742,0.62707,0.62734
1737583200,0.62684,0.6273,0.62668,0.62697
1737586800,0.62699,0.62741,0.62665,0.62728
1737590400,0.62728,0.62756,0.62709,0.62734
1737594000,0.62732,0.62821,0.62722,0.62736
1737597600,0.62736,0.62779,0.62674,0.62721
1737601200,0.6272,0.62751,0.62701,0.62735
1737604800,0.62734,0.62769,0.62731,0.62748
1737608400,0.6275,0.62765,0.627,0.62715
1737612000,0.62714,0.62741,0.62652,0.62657
1737615600,0.62651,0.62696,0.62609,0.62672
1737619200,0.62673,0.62679,0.6255,0.62558
1737622800,0.62557,0.62647,0.62555,0.62638
1737626400,0.62639,0.62703,0.62638,0.62661
1737630000,0.62661,0.62722,0.62622,0.62648
1737633600,0.62647,0.6271,0.62595,0.62693
1737637200,0.62691,0.62747,0.62646,0.62726
1737640800,0.62727,0.62787,0.62705,0.62763
1737644400,0.62766,0.62775,0.62663,0.62726
1737648000,0.62725,0.62944,0.62548,0.62867
1737651600,0.62867,0.62997,0.62835,0.62973
1737655200,0.62974,0.62986,0.62871,0.62876
1737658800,0.62874,0.62911,0.62848,0.62886
1737662400,0.6288,0.62927,0.62837,0.6285
1737666000,0.6285,0.62873,0.6283,0.62844
1737669600,0.62848,0.62867,0.6283,0.62836
1737673200,0.62837,0.62862,0.62818,0.62827
1737676800,0.6283,0.62864,0.62798,0.62833
1737680400,0.62826,0.62841,0.62783,0.62828
1737684000,0.62828,0.6319,0.62826,0.6318
1737687600,0.63179,0.6321,0.63064,0.63193
1737691200,0.63188,0.63239,0.63118,0.63144
1737694800,0.63144,0.63243,0.63142,0.63243
1737698400,0.63242,0.63306,0.63187,0.63208
1737702000,0.63211,0.63225,0.63119,0.63143
1737705600,0.6314,0.63273,0.6312,0.63216
1737709200,0.63216,0.63308,0.63189,0.63231
1737712800,0.63235,0.63244,0.63177,0.63197
1737716400,0.63198,0.63223,0.63124,0.6314
1737720000,0.63136,0.6318,0.6307,0.63094
1737723600,0.63093,0.63126,0.63036,0.63052
1737727200,0.63053,0.63196,0.63017,0.63101
1737730800,0.63099,0.63244,0.63084,0.63235
1737734400,0.63236,0.63249,0.63169,0.63211
1737738000,0.63209,0.63267,0.63186,0.63192
1737741600,0.6319,0.63201,0.63132,0.63138
1737745200,0.63141,0.63154,0.63116,0.63141
1737748800,0.63137,0.63155,0.63102,0.63133
1737752400,0.63132,0.63159,0.63129,0.63148
1737928800,0.62989,0.63051,0.62977,0.62989
