time,open,high,low,close,Volume
1625101200,0.92888,0.9291,0.92842,0.92899,4645
1625108400,0.92897,0.92897,0.92853,0.92857,2971
1625115600,0.92857,0.92883,0.92763,0.92828,6200
1625122800,0.92823,0.92974,0.92809,0.92922,11437
1625130000,0.92921,0.92956,0.9279,0.92837,10217
1625137200,0.9284,0.92916,0.92797,0.92882,11700
1625144400,0.92882,0.92884,0.92611,0.92658,18212
1625151600,0.9266,0.92816,0.92638,0.92799,12545
1625158800,0.92795,0.92857,0.92779,0.92836,5982
1625166000,0.92834,0.92923,0.92825,0.92908,4386
1625173200,0.92841,0.9292,0.92827,0.92898,1411
1625180400,0.92899,0.92905,0.92835,0.92848,4152
1625187600,0.92849,0.92897,0.92773,0.92791,6554
1625194800,0.9279,0.92832,0.92763,0.92816,2814
1625202000,0.92816,0.92864,0.92802,0.92846,4749
1625209200,0.92846,0.92851,0.9268,0.9268,10045
1625216400,0.92678,0.92692,0.92573,0.92661,6969
1625223600,0.9266,0.92772,0.92479,0.92768,19062
1625230800,0.92766,0.92799,0.92595,0.92663,23623
1625238000,0.92667,0.92684,0.92523,0.9258,9379
1625245200,0.92577,0.92817,0.92561,0.92746,7009
1625252400,0.92745,0.92804,0.92723,0.92773,4795
1625432400,0.92544,0.92789,0.92531,0.92701,1886
1625439600,0.927,0.92746,0.92677,0.92733,5240
1625446800,0.92736,0.9279,0.92671,0.92787,6266
1625454000,0.9279,0.92834,0.92718,0.92775,3533
1625461200,0.92775,0.92883,0.92731,0.92883,6743
1625468400,0.92882,0.92986,0.92839,0.92955,8147
1625475600,0.92953,0.93034,0.9294,0.92996,6563
1625482800,0.92995,0.93085,0.92992,0.9306,6119
1625490000,0.9306,0.93068,0.92947,0.93019,7022
1625497200,0.9302,0.93034,0.92839,0.92899,5660
1625504400,0.92899,0.92943,0.92809,0.92914,9817
1625511600,0.9291,0.92959,0.92791,0.92873,4299
1625518800,0.92866,0.93079,0.92834,0.9307,2223
1625526000,0.93067,0.93128,0.93028,0.93081,4518
1625533200,0.93082,0.932,0.9306,0.93178,6501
1625540400,0.93177,0.93331,0.93041,0.93191,8296
1625547600,0.9319,0.93494,0.93187,0.93439,9796
1625554800,0.93439,0.93549,0.93358,0.93544,11884
1625562000,0.93545,0.93703,0.93536,0.93583,8878
1625569200,0.93582,0.93697,0.93546,0.93653,10006
1625576400,0.93652,0.93769,0.93524,0.93627,28024
1625583600,0.93631,0.9365,0.93382,0.93475,17717
1625590800,0.93474,0.93504,0.9332,0.9343,7436
1625598000,0.93429,0.93473,0.93338,0.93346,4536
1625605200,0.93346,0.93394,0.93271,0.93376,1696
1625612400,0.93374,0.93444,0.93317,0.93439,6469
1625619600,0.93438,0.9345,0.93338,0.9338,7767
1625626800,0.93379,0.93473,0.93348,0.93473,3458
1625634000,0.93473,0.93533,0.93447,0.93493,7173
1625641200,0.93493,0.93506,0.93389,0.9341,10428
1625648400,0.93409,0.9351,0.93394,0.93494,8379
1625655600,0.93492,0.93668,0.93438,0.93458,11191
1625662800,0.93458,0.93524,0.93371,0.93514,22787
1625670000,0.93511,0.93611,0.93459,0.93465,12356
1625677200,0.93465,0.93504,0.93325,0.93398,15739
1625684400,0.93397,0.93453,0.93371,0.93391,7051
1625691600,0.93352,0.9349,0.93318,0.93443,1720
1625698800,0.93441,0.93446,0.93338,0.93357,6415
1625706000,0.93358,0.93387,0.93294,0.93373,9956
1625713200,0.93373,0.93517,0.93324,0.93477,5372
1625720400,0.93475,0.93475,0.93243,0.93336,11754
1625727600,0.93336,0.93463,0.93257,0.93452,22803
1625734800,0.93454,0.935,0.93271,0.93342,17479
1625742000,0.9334,0.93477,0.93197,0.93459,21218
1625749200,0.9346,0.93462,0.93159,0.93175,31395
1625756400,0.93178,0.93293,0.93129,0.93213,14874
1625763600,0.93213,0.93244,0.93017,0.93046,10122
1625770800,0.93051,0.93137,0.92992,0.93137,9431
1625778000,0.93067,0.93213,0.92816,0.93201,2068
1625785200,0.93203,0.93208,0.93029,0.9303,7437
1625792400,0.93031,0.93075,0.92976,0.93056,11042
